"id","file","creator","title","publisher","date","subject","contributor"
"celestialcitygli00burn","corpus/celestialcitygli00burn_djvu.txt","Burns, James Drummond, 1823-1864","The celestial city : glimpses within the gates","Boston : American Tract Society","1867","Heaven","University of Illinois Urbana-Champaign"
"glimpsesofwestaf00whit_0","corpus/glimpsesofwestaf00whit_0_djvu.txt","Whiton, Samuel J","Glimpses of West Africa, with sketches of missionary labor","Boston, American tract society","1866","Missions","Princeton Theological Seminary Library"
"mariemanningand00bittgoog","corpus/mariemanningand00bittgoog_djvu.txt","Bittersweet,  pseud Bittersweet","Marie Manning, and Others","American Tract Society","1880",NA,"New York Public Library"
"scripturebiogra00hookgoog","corpus/scripturebiogra00hookgoog_djvu.txt","Thomas Hopkins Gallaudet,  Horace Hooker","Scripture Biography for the Young: With Critical Illustrations and Practical ...","American Tract Society","1843",NA,"unknown library"
"studiesinnewtes00robigoog","corpus/studiesinnewtes00robigoog_djvu.txt","Charles Seymour Robinson","Studies in the New Testament","American tract society","1880",NA,"University of Michigan"
"scenesinhawaiia00andegoog","corpus/scenesinhawaiia00andegoog_djvu.txt","Mary Evarts Anderson","Scenes in the Hawaiian Islands and California","American tract society","1865",NA,"University of Michigan"
"progressdoctrin02berngoog","corpus/progressdoctrin02berngoog_djvu.txt","Thomas Dehany Bernard","The Progress of Doctrine in the New Testament: Considered in Eight Lectures ...","American Tract Society","1867",NA,"Harvard University"
"sketchoflifeofca00mars","corpus/sketchoflifeofca00mars_djvu.txt",NA,"Sketch of the life of Captain Hedley Vicars. Abridged from the Memoir","Boston, American tract society","1860","Vicars, Hedley, 1826-1855","The Library of Congress"
"101202732.nlm.nih.gov","corpus/101202732_djvu.txt","Mussey, R. D. (Reuben Dimond), 1780-1866","What shall I drink?","Boston : American Tract Society","1863",NA,"U.S. National Library of Medicine"
"prayerasatheory00faungoog","corpus/prayerasatheory00faungoog_djvu.txt","Daniel Worcester Faunce","Prayer as a Theory and a Fact. ...","American tract society","1890",NA,"Library of Congress"
"supremethingsin00burrgoog","corpus/supremethingsin00burrgoog_djvu.txt","Enoch Fitch Burr","Supreme Things: In Their Practical Relations. ...","American tract society","1889",NA,"University of Michigan"
"helpsoverhardpla00palm","corpus/helpsoverhardpla00palm_djvu.txt","Palmer, Lynde, 1833-1915","Helps over hard places : stories for boys","Boston : American Tract Society","1862","Children's stories, American","New York Public Library"
